iter	Passed	Remaining
0	4	913
1	6	672
2	9	594
3	12	618
4	17	688
5	20	663
6	23	643
7	25	623
8	28	607
9	34	647
10	39	682
11	42	665
12	45	658
13	50	676
14	54	666
15	57	658
16	59	645
17	64	652
18	68	657
19	72	649
20	78	669
21	83	676
22	87	671
23	91	667
24	94	664
25	98	656
26	100	645
27	103	638
28	106	625
29	110	626
30	113	619
31	116	612
32	118	600
33	121	591
34	123	582
35	127	579
36	130	575
37	133	570
38	136	563
39	139	556
40	143	557
41	147	553
42	149	545
43	151	537
44	154	532
45	158	530
46	162	528
47	165	523
48	167	517
49	171	513
50	176	514
51	178	509
52	181	503
53	184	499
54	187	494
55	191	492
56	194	487
57	197	482
58	199	477
59	202	473
60	208	474
61	212	472
62	215	468
63	218	464
64	222	461
65	226	460
66	229	455
67	232	450
68	234	445
69	238	442
70	241	439
71	244	434
72	246	429
73	249	425
74	254	424
75	261	426
76	264	423
77	268	420
78	272	417
79	276	414
80	279	410
81	283	407
82	288	406
83	290	401
84	293	397
85	295	391
86	297	386
87	301	383
88	304	380
89	307	376
90	309	370
91	311	365
92	314	361
93	319	360
94	322	356
95	324	352
96	327	347
97	329	343
98	333	340
99	337	337
100	340	333
101	342	328
102	345	325
103	349	322
104	351	318
105	354	314
106	357	310
107	360	307
108	364	304
109	367	300
110	370	296
111	372	292
112	374	288
113	380	286
114	384	284
115	387	280
116	389	276
117	392	272
118	397	270
119	400	267
120	403	263
121	405	259
122	408	255
123	412	252
124	415	249
125	417	245
126	421	242
127	423	238
128	426	234
129	431	232
130	434	228
131	436	224
132	438	220
133	440	217
134	444	214
135	447	210
136	450	207
137	452	203
138	454	199
139	457	196
140	461	193
141	464	189
142	466	186
143	468	182
144	471	178
145	477	176
146	480	173
147	483	169
148	485	166
149	487	162
150	491	159
151	494	156
152	497	152
153	499	149
154	501	145
155	506	142
156	508	139
157	511	135
158	513	132
159	516	129
160	518	125
161	522	122
162	526	119
163	529	116
164	531	112
165	534	109
166	538	106
167	540	103
168	543	99
169	546	96
170	548	93
171	556	90
172	560	87
173	563	84
174	569	81
175	572	78
176	576	74
177	579	71
178	581	68
179	587	65
180	591	62
181	593	58
182	596	55
183	601	52
184	604	48
185	607	45
186	611	42
187	616	39
188	621	36
189	625	32
190	629	29
191	636	26
192	640	23
193	644	19
194	649	16
195	654	13
196	657	10
197	660	6
198	665	3
199	670	0
